date,time,rate,pressure,conductivity
24-08-2020  14:45:11,0,8,152.4,265.74
24-08-2020  14:45:21,0.16,8,380.4,387.52
24-08-2020  14:45:31,0.33,8,72.4,333.77
24-08-2020  14:45:41,0.49,8,83.6,309.45
24-08-2020  14:45:51,0.66,8,95,311.05
24-08-2020  14:46:01,0.83,8,109.2,344.79
24-08-2020  14:46:11,0.99,8,124.2,256.3
24-08-2020  14:46:21,1.16,8,135,180.5
24-08-2020  14:46:31,1.33,8,154.6,181.26
24-08-2020  14:46:41,1.49,8,178.6,176.2
24-08-2020  14:46:51,1.66,8,197.4,182.4
24-08-2020  14:47:01,1.83,8,236.8,186.36
24-08-2020  14:47:11,1.99,8,290.4,187.71
24-08-2020  14:47:21,2.16,8,210.6,194.11
24-08-2020  14:47:31,2.33,8,89,5.61
24-08-2020  14:47:41,2.5,8,67.8,112.65
24-08-2020  14:47:51,2.66,8,60,149.87
24-08-2020  14:48:01,2.83,8,66,253.25
24-08-2020  14:48:11,3,8,80.4,623.62
24-08-2020  14:48:21,3.16,8,91.8,339.51
24-08-2020  14:48:31,3.33,8,109.2,223.25
24-08-2020  14:48:41,3.49,8,129,70.86
24-08-2020  14:48:51,3.66,8,151,40.41
24-08-2020  14:49:01,3.83,8,175.4,67.53
24-08-2020  14:49:11,3.99,8,206.2,74
24-08-2020  14:49:21,4.16,8,233.8,78.05
24-08-2020  14:49:31,4.33,8,290.2,82.84
24-08-2020  14:49:41,4.49,8,364.4,78.78
24-08-2020  14:49:51,4.66,8,425.4,83.96
24-08-2020  14:50:01,4.83,8,504.4,104.18
24-08-2020  14:50:11,4.99,8,509.2,146.31
24-08-2020  14:50:21,5.16,8,499.6,150.86
24-08-2020  14:50:31,5.33,8,497.8,205.18
24-08-2020  14:50:41,5.49,8,499.2,212.91
24-08-2020  14:50:51,5.66,8,498.6,262.39
24-08-2020  14:51:01,5.83,8,497.8,278.31
24-08-2020  14:51:11,5.99,8,494.4,286.01
24-08-2020  14:51:21,6.16,8,495.4,301.1
24-08-2020  14:51:31,6.33,8,495,310.47
24-08-2020  14:51:41,6.49,8,494.8,318.64
24-08-2020  14:51:51,6.66,8,494.4,317.92
24-08-2020  14:52:01,6.83,8,495,332.08
24-08-2020  14:52:11,7,8,494.4,335.11
24-08-2020  14:52:21,7.16,8,495,343.46
24-08-2020  14:52:31,7.33,8,494.6,349.09
24-08-2020  14:52:41,7.5,8,494,344.82
24-08-2020  14:52:51,7.66,8,494.8,357.76
24-08-2020  14:53:01,7.83,8,495.6,355.94
24-08-2020  14:53:11,7.99,8,495.4,359.83
24-08-2020  14:53:21,8.16,8,495.8,360.5
24-08-2020  14:53:31,8.33,8,496,357.81
24-08-2020  14:53:41,8.5,8,496.2,362.49
24-08-2020  14:53:51,8.66,8,495.8,364.58
24-08-2020  14:54:01,8.83,8,496.4,367.39
24-08-2020  14:54:11,8.99,8,496.2,363.77
24-08-2020  14:54:21,9.16,8,496.4,379.61
24-08-2020  14:54:31,9.33,8,496.4,379.51
24-08-2020  14:54:41,9.5,8,496.6,385.03
24-08-2020  14:54:51,9.66,8,497,384.12
24-08-2020  14:55:01,9.83,8,496.8,390.99
24-08-2020  14:55:11,9.99,8,497.8,395.89
24-08-2020  14:55:21,10.16,8,496.2,392.21
24-08-2020  14:55:31,10.33,8,496.4,390.88
24-08-2020  14:55:41,10.49,8,495.4,395.83
24-08-2020  14:55:51,10.66,8,495.6,400.7
24-08-2020  14:56:01,10.83,8,496,377.36
24-08-2020  14:56:11,11,8,496.4,391.5
24-08-2020  14:56:21,11.16,8,496.4,396.46
24-08-2020  14:56:31,11.33,8,496.6,405.39
24-08-2020  14:56:41,11.49,8,497,395.24
24-08-2020  14:56:51,11.66,8,497,398.5
24-08-2020  14:57:01,11.83,8,497.6,402.56
24-08-2020  14:57:11,12,8,497,399.32
24-08-2020  14:57:21,12.16,8,497,396.4
24-08-2020  14:57:31,12.33,8,497,399.65
24-08-2020  14:57:41,12.49,8,497.2,393.59
24-08-2020  14:57:51,12.66,8,496.8,401.4
24-08-2020  14:58:01,12.83,8,497,403.89
24-08-2020  14:58:11,12.99,8,497,403.89
24-08-2020  14:58:21,13.16,8,497,398.19
24-08-2020  14:58:31,13.33,8,497,396.79
24-08-2020  14:58:41,13.49,8,497,399.81
24-08-2020  14:58:51,13.66,8,497.4,408.84
24-08-2020  14:59:01,13.83,8,496.4,383.28
24-08-2020  14:59:11,13.99,8,496.2,380.62
24-08-2020  14:59:21,14.16,8,496.4,380.63
24-08-2020  14:59:31,14.33,8,496.6,390.26
24-08-2020  14:59:41,14.49,8,496.6,390.26
24-08-2020  14:59:51,14.66,8,496.8,382.96
24-08-2020  15:00:01,14.83,8,496.8,382.08
24-08-2020  15:00:11,14.99,8,498.2,379.75
24-08-2020  15:00:21,15.16,8,497.2,384.03
24-08-2020  15:00:31,15.33,8,496.4,392.96
24-08-2020  15:00:41,15.49,8,496.2,387.24
24-08-2020  15:00:51,15.66,8,496.6,394.56
24-08-2020  15:01:01,15.83,8,497,398.24
24-08-2020  15:01:11,16,8,497.2,411.35
24-08-2020  15:01:21,16.16,8,497.2,414.85
24-08-2020  15:01:31,16.33,8,497.6,410.28
24-08-2020  15:01:41,16.5,8,497.4,408.14
24-08-2020  15:01:51,16.66,8,497.2,412.22
24-08-2020  15:02:01,16.83,8,497.2,416.51
24-08-2020  15:02:11,16.99,8,497.4,417.26
24-08-2020  15:02:21,17.16,8,497.4,418.47
24-08-2020  15:02:31,17.33,8,497.4,420.75
24-08-2020  15:02:41,17.49,8,497.4,426.16
24-08-2020  15:02:51,17.66,8,497.6,423.62
24-08-2020  15:03:01,17.83,8,500.4,425.59
24-08-2020  15:03:11,17.99,8,500.4,416.92
24-08-2020  15:03:21,18.16,8,499.4,423.55
24-08-2020  15:03:31,18.33,8,499,437.06
24-08-2020  15:03:41,18.49,8,498.8,426.37
24-08-2020  15:03:51,18.66,8,499.2,420.72
24-08-2020  15:04:01,18.83,8,498.8,426.56
24-08-2020  15:04:11,18.99,8,498.8,421.1
24-08-2020  15:04:21,19.16,8,499.2,424.33
24-08-2020  15:04:31,19.33,8,499.2,418.31
24-08-2020  15:04:41,19.49,8,499,415.63
24-08-2020  15:04:51,19.66,8,499.2,429.97
24-08-2020  15:05:01,19.83,8,499.2,422.41
24-08-2020  15:05:11,19.99,8,499.4,419.14
24-08-2020  15:05:21,20.16,8,499.4,423.43
24-08-2020  15:05:31,20.33,8,499.4,422.07
24-08-2020  15:05:41,20.5,8,498.4,438.91
24-08-2020  15:05:51,20.66,8,498,429.05
24-08-2020  15:06:01,20.83,8,498.4,422.73
24-08-2020  15:06:11,20.99,8,498.4,427.24
24-08-2020  15:06:21,21.16,8,498.6,427.9
24-08-2020  15:06:31,21.33,8,499,426.21
24-08-2020  15:06:41,21.49,8,499,439.39
24-08-2020  15:06:51,21.66,8,499,419.27
24-08-2020  15:07:01,21.83,8,499.2,431.87
24-08-2020  15:07:11,21.99,8,499.4,424.56
24-08-2020  15:07:21,22.16,8,499.4,423.99
24-08-2020  15:07:31,22.33,8,499.2,429.06
24-08-2020  15:07:41,22.49,8,499.4,424.73
24-08-2020  15:07:51,22.66,8,499.4,424.73
24-08-2020  15:08:01,22.83,8,499.2,420.43
24-08-2020  15:08:11,22.99,8,499.6,427.82
24-08-2020  15:08:21,23.16,8,499.4,424.12
24-08-2020  15:08:31,23.33,8,499.2,420.34
24-08-2020  15:08:41,23.49,8,499.2,433.46
24-08-2020  15:08:51,23.66,8,499.2,430.64
24-08-2020  15:09:01,23.83,8,499.4,427.21
24-08-2020  15:09:11,23.99,8,499.4,431.53
24-08-2020  15:09:21,24.16,8,499.6,438.52
24-08-2020  15:09:31,24.33,8,499.4,437.58
24-08-2020  15:09:41,24.49,8,499.4,434.72
24-08-2020  15:09:51,24.66,8,499.4,421.81
24-08-2020  15:10:01,24.83,8,499.6,428.59
24-08-2020  15:10:11,24.99,8,499.8,424.7
24-08-2020  15:10:21,25.16,8,499.6,433.02
24-08-2020  15:10:31,25.33,8,499.6,425.6
24-08-2020  15:10:41,25.49,8,499.8,444
24-08-2020  15:10:51,25.66,8,499.8,417.84
