Time (min),C (md.ft),Inj. P (psi)
0,127.2,21.4
1.01,115.91,21.8
2.01,110.48,21.2
3.01,106.4,21.4
4.01,103.25,21.6
5.01,105.26,21.4
6.01,98.38,21.6
7.01,96.85,21.6
8.01,92.45,21.6
9.01,90.79,21.6
10.01,91.62,21.6
11.01,90.58,21.6
12.01,88.67,21.6
13.01,88.31,21.6
14.01,88.88,21.6
15.01,87.32,21.8
16.01,82.99,21.8
17.01,81.42,21.8
18.01,77.64,21.8
19.01,75.55,21.8
20.01,75.73,21.8
21.01,76.75,21.8
22.01,73.26,21.8
23.01,75.43,22
24.01,79.56,21.8
25.01,113.34,21.4
26.01,105.16,21.4
27.01,107.68,21.2
28.01,104.33,21.4
29.01,101.34,21.4
30.01,103.91,21.4
31.01,101.26,21.2
32.01,105.25,21.2
33.01,102.65,21.2
34.01,103.69,21.2
35.01,100.79,21.2
36.01,97.87,21.2
37.01,100.79,21.2
38.01,101.66,21.2
39.01,99.35,21.2
40.01,100.06,21.2
41.01,98.23,21.2
42.01,98.12,21.2
43.01,99.13,21.2
44.01,100.64,21.2
45.01,98.12,21.4
46.01,99.28,21.2
47.01,99.14,21.4
48.01,98.64,21.2
49.01,99.66,21.2
50.01,99.01,21.2
51.01,97.3,21.2
52.01,99.16,21.2
53.01,98.06,21.4
54.01,97.67,21.2
55.01,96.79,21.2
56.01,98.05,21.2
57.01,98.35,21.4
58.01,97.26,21.2
59.01,98.77,21.4
60.01,98.75,21.2
61.01,96.56,21.2
62.01,97.75,21.4
63.01,98.41,21.2
64.01,97.05,21.2
65.01,97.13,21.4
66.01,99.44,21.4
67.01,97.77,21.4
68.01,98.27,21.4
69.01,97.04,21.4
70.01,98.89,21.4
71.01,97.76,21.4
72.01,95.49,21.4
73.01,97.6,21.4
74.01,100.53,21.4
75.01,95.96,21.4
76.01,97.58,21.4
77.01,97.62,21.2
78.01,97.38,21.4
79.01,98.32,21.4
80.01,97.63,21.4
81.01,100.45,21.4
82.01,98.3,21.4
83.01,97.3,21.4
84.01,95.32,21.4
85.01,97.91,21.4
86.01,98.34,21.4
87.01,95.89,21.4
88.01,97.09,21.4
89.01,98.68,21.4
90.01,96.84,21.4
91.01,96.18,21.4
92.01,96.01,21.4
93.01,96.97,21.4
94.01,95.59,21.4
95.01,96.61,21.4
96.01,95.89,21.4
97.01,98.4,21.4
98.01,99.72,21.4
99.01,97.65,21.4
100.01,98.13,21.4
101.01,98.78,21.4
102.01,98.17,21.4
103.01,96.44,21.4
104.01,97.2,21.4
105.01,96.83,21.4
106.01,96.74,21.4
107.01,96.43,21.4
108.01,96.03,21.4
109.01,96.45,21.4
110.01,97.25,21.4
111.01,95.76,21.4
112.01,96.53,21.4
113.01,95.65,21.4
114.01,94.82,21.4
115.01,94.54,21.4
116.01,93.66,21.4
117.01,93.76,21.4
118.01,93.65,21.4
119.01,90.92,21.4
120.01,91.54,21.4
121.01,91.64,21.4
122.01,91.2,21.6
123.01,93.17,21.4
124.01,91.08,21.4
125.01,91.22,21.4
126.01,89.91,21.4
127.01,89.94,21.6
128.01,88.18,21.4
129.01,88.61,21.4
130.01,92.58,21.4
131.01,98.35,21.4
132.01,97.86,21.2
133.01,99.26,21.2
134.01,97.93,21.2
135.01,96.46,21.2
136.01,97.12,21.4
137.01,98.9,21.2
138.01,94.59,21.2
139.01,97.19,21.2
140.01,96.68,21.2
141.01,97.86,21.4
142.01,97.35,21.4
143.01,95.02,21.4
144.01,97,21.2
145.01,96.13,21.4
146.01,95.42,21.4
147.01,96.87,21.4
148.01,96.67,21.4
149.01,95.1,21.2
150.01,97.02,21.4
151.01,95.95,21.4
152.01,95.18,21.4
153.01,96.86,21.4
154.01,95.56,21.4
155.01,96.25,21.4
156.01,96.43,21.4
157.01,96.14,21.4
158.01,95.64,21.4
159.01,97.16,21.4
160.01,95.71,21.4
161.01,97,21.4
162.01,96.31,21.4
163.01,95.49,21.4
164.01,94.97,21.4
165.01,94.29,21.4
166.01,95.09,21.4
167.01,94.77,21.4
168.01,94.44,21.4
169.01,94.85,21.4
170.01,98.79,21.4
171.01,96.78,21.4
172.01,95.02,21.4
173.01,96.04,21.4
174.01,97.99,21.4
175.01,94.82,21.4
176.01,93.66,21.4
177.01,92.54,21.4
178.01,92.27,21.4
179.01,94.61,21.4
180.01,94.88,21.4
181.01,92.7,21.4
182.01,94.24,21.4
183.01,92.09,21.4
184.01,91.81,21.4
185.01,91.32,21.4
186.01,91.26,21.6
187.01,90.18,21.6
188.01,88.67,21.4
189.01,89.75,21.4
190.01,88.53,21.4
191.01,87.78,21.4
192.01,90.28,21.4
193.01,96.85,21.4
194.01,98.05,21.4
195.01,97.74,21.4
196.01,96.51,21.4
197.01,97.82,21.4
198.01,95.98,21.4
199.01,95.03,21.4
200.01,96.39,21.4
201.01,95.41,21.4
202.01,95.73,21.4
203.01,95.22,21.4
204.01,94.04,21.4
205.01,96.15,21.4
206.01,94.96,21.4
207.01,97.09,21.4
208.01,96.05,21.4
209.01,97.47,21.4
210.01,94.47,21.4
211.01,93.22,21.4
212.01,91.99,21.4
213.01,91.91,21.4
214.01,89.34,21.4
215.01,95.77,21.4
216.01,97.13,21.4
217.01,97.16,21.4
218.01,97.51,21.2
219.01,96.01,21.4
220.01,94.15,21.4
221.01,97.05,21.4
222.01,96.27,21.4
223.01,95.75,21.4
224.01,96.13,21.4
225.01,96.94,21.4
226.01,94.62,21.4
227.01,93.62,21.4
228.01,94.78,21.4
229.01,93.22,21.4
230.01,94.23,21.6
231.01,92.86,21.4
232.01,90.65,21.4
233.01,89.22,21.6
234.01,90,21.6
235.01,89.97,21.4
236.01,93.15,21.6
237.01,94.88,21.4
238.01,96.28,21.4
239.01,94.95,21.4
240.01,95.35,21.2
241.01,94.53,21.4
242.01,96.17,21.4
243.01,95.03,21.4
244.01,95.68,21.4
245.01,96.09,21.4
246.01,96.46,21.4
247.01,98.16,21.4
248.01,96.02,21.4
249.01,96.16,21.4
250.01,94.23,21.4
251.01,98.06,21.4
252.01,94.6,21.4
253.01,94.76,21.4
254.01,94.97,21.2
255.01,96.15,21.4
256.01,93.9,21.4
257.01,94.09,21.4
258.01,96.28,21.4
259.01,93.98,21.4
260.01,95.14,21.4
261.01,96.46,21.4
262.01,97.12,21.4
263.01,94.15,21.4
264.01,94.4,21.4
265.01,96.22,21.4
266.01,95.55,21.4
267.01,94.61,21.4
268.01,96.59,21.4
269.01,96.34,21.4
270.01,95.12,21.4
271.01,95.25,21.4
272.01,96.46,21.2
273.01,94.64,21.4
274.01,94.97,21.4
275.01,95.09,21.2
276.01,95.77,21.4
277.01,94.23,21.4
278.01,94.26,21.4
279.01,95.45,21.4
280.01,95.07,21.4
281.01,97.9,21.4
282.01,96.75,21.4
283.01,96.41,21.4
284.01,93.97,21.4
285.01,96.46,21.4
286.01,95.61,21.4
287.01,95.07,21.6
288.01,96.45,21.4
289.01,95.44,21.4
290.01,94.7,21.4
291.01,94.68,21.4
292.01,95.78,21.4
293.01,94.03,21.4
294.01,98.24,21.4
295.01,96.46,21.4
296.01,96.79,21.4
297.01,95.88,21.4
298.01,94.83,21.4
299.01,96.8,21.4
