Time (min),C (md.ft),Inj. P (psi)
1.07,94.32,22.2
2.07,92.4,22
3.07,90.72,22
4.07,91.16,22
5.07,86.84,22.2
6.07,84.77,22.2
7.07,83.83,22.2
8.07,82.94,22.2
9.07,83.41,22.2
10.07,82.73,22.4
11.07,82.33,22.2
12.07,82.67,22.2
13.07,81.88,22.2
14.07,84.62,22.2
15.07,83.09,22.2
16.07,83.76,22.2
17.07,83.12,22.4
18.07,83.09,22.2
19.07,83.94,22.2
20.07,83.71,22.2
21.07,82.99,22.2
22.07,82.75,22.2
23.07,82.19,22.2
24.07,83.01,22.2
25.07,83.5,22.2
26.07,83.71,22.2
27.07,83.99,22.2
28.07,83.62,22
29.07,83.3,22.2
30.07,82.62,22.2
31.07,83.14,22.2
32.07,82.75,22.2
33.07,81.26,22.2
34.07,82.03,22
35.07,81.81,22.2
36.07,80.9,22.2
37.07,82.26,22.2
38.07,80.02,22.2
39.07,80.15,22.2
40.07,78.38,22.2
41.07,76.56,22
42.07,75.32,22.2
43.07,74.55,22.2
44.07,75.47,22.2
45.07,73.72,22.2
46.07,73.46,22.2
47.07,72.2,22.2
48.07,72.91,22.2
49.07,71.37,22.2
50.07,71.35,22.2
51.07,70.26,22.2
52.07,70.98,22.2
53.07,71.58,22.2
54.07,69.67,22.2
55.07,69.8,22.2
56.07,69.83,22.2
57.07,69.92,22.2
58.07,69.45,22.2
59.07,69.51,22.2
60.07,69.17,22.2
61.07,69.13,22.2
62.07,68.87,22.2
63.07,68.33,22.2
64.07,68.4,22.2
65.07,69.43,22.2
66.07,68.12,22.2
67.07,68.27,22.2
68.07,68.05,22.2
69.07,68.27,22.2
70.07,68.92,22.2
71.07,66.74,22.2
72.07,67.82,22.2
73.07,67.38,22
74.07,67.36,22
75.07,67.65,22.2
76.07,67.28,22.2
77.07,66.77,22.2
78.07,67.02,22.2
79.07,66.98,22
80.07,67.35,22
81.07,66.37,22.2
82.07,66.36,22.2
83.07,66.05,22.2
84.07,66.58,22.2
85.07,66.04,22
86.07,65.68,22.2
87.07,65.98,22
88.07,65.55,22.2
89.07,65.57,22.2
90.07,66.33,22.2
91.07,66.02,22.2
92.07,66.5,22.2
93.07,65.95,22.2
94.07,66.42,22.2
95.07,66.3,22.2
96.07,65.98,22
97.07,65.78,22.2
98.07,66.11,22.2
99.07,65.07,22.2
100.07,66.04,22.2
101.07,65.68,22.2
102.07,65.57,22.2
103.07,64.73,22.2
104.07,65.22,22.2
105.07,64.96,22.2
106.07,65.18,22.2
107.07,65.52,22.2
108.07,64.34,22.2
109.07,64.05,22.2
110.07,64.96,22.2
111.07,64.66,22.2
112.07,64.53,22
113.07,63.9,22.2
114.07,63.94,22.2
115.07,65.19,22.2
116.07,65.31,22.2
117.07,64.74,22
118.07,65.06,22.2
119.07,64.91,22.2
120.07,64.81,22
121.07,64.22,22
122.07,64.86,22.2
123.07,64.53,22.2
124.07,64.09,22.2
125.07,63.93,22.2
126.07,63.8,22.2
127.07,63.54,22
128.07,64.82,22.2
129.07,63.76,22.2
130.07,64.1,22.2
131.07,64.08,22
132.07,64.03,22.2
133.07,63.44,22
134.07,63.95,22.2
135.07,63.44,22
136.07,63.6,22.2
137.07,64.35,22.2
138.07,63.46,22
139.07,63.32,22.2
140.07,64.3,22.2
141.07,65.03,22.2
142.07,63.47,22.2
143.07,63.1,22.2
144.07,63.71,22.2
145.07,63.21,22.2
146.07,63.34,22.2
147.07,63.37,22.2
148.07,62.82,22.2
149.07,63.22,22.2
150.07,63.75,22
151.07,62.55,22.2
152.07,63.56,22.2
153.07,62.93,22.2
154.07,63.21,22.2
155.07,63.4,22.2
156.07,63.69,22.2
157.07,63.34,22
158.07,63.28,22.2
159.07,62.7,22
160.07,63.62,22.2
161.07,63.21,22.2
162.07,62.62,22.2
163.07,63.32,22
164.07,63.51,22.2
165.07,64.38,22.2
166.07,64.5,22
167.07,64.18,22.2
168.07,64.49,22
169.07,63.52,22.2
170.07,63.69,22.2
171.07,63.74,22.2
172.07,64.44,22
173.07,64.04,22.2
174.07,64.12,22
175.07,64.21,22
176.07,63.76,22
177.07,63.44,22.2
178.07,64.59,22.2
179.07,63.94,22
180.07,63.71,22.2
181.07,64.03,22.2
182.07,64.12,22
183.07,63.76,22
184.07,63.94,22
185.07,64.17,22
186.07,63.97,22
187.07,63.94,22.2
188.07,63.67,22
189.07,64.28,22
190.07,63.87,22.2
191.07,63.71,22.2
192.07,63.54,22.2
193.07,63.1,22.2
194.07,64.01,22
195.07,63.8,22
196.07,63.59,22
197.07,63.63,22
198.07,63.24,22.2
199.07,63.23,22
200.07,63.81,22.2
201.07,62.99,22.2
202.07,63.73,22.2
203.07,64.14,22.2
204.07,63.5,22.2
205.07,64,22.2
206.07,64.02,22.2
207.07,63.53,22.2
208.07,63.29,22.2
209.07,63.42,22.2
210.07,63.01,22.2
211.07,63.1,22
212.07,63.72,22
213.07,63.21,22
214.07,63.34,22.2
215.07,63.33,22
216.07,63.64,22
217.07,63.58,22
218.07,62.96,22
219.07,63.23,22
220.07,63.28,22.2
221.07,63.22,22
222.07,63.11,22
223.07,63.07,22
224.07,62.97,22
225.07,62.58,22
226.07,62.99,22
227.07,63.22,22.2
228.07,63.15,22
229.07,62.18,22
230.07,62.55,22
231.07,62.89,22
232.07,63,22.2
233.07,62.77,22
234.07,62.31,22
235.07,62.47,22
236.07,62.38,22
237.07,62.77,22.2
238.07,62.49,22.2
239.07,62.5,22.2
240.07,62.39,22
241.07,62.15,22.2
242.07,62.77,22
243.07,62.17,22.2
244.07,63.11,22
245.07,62.13,22.2
246.07,62.38,22.2
247.07,62.16,22
248.07,62.08,22
249.07,62.49,22
250.07,62.36,22.2
251.07,62.49,22
252.07,61.41,22
253.07,62.87,22
254.07,62.48,22
255.07,62.25,22.2
256.07,61.94,22
257.07,62.38,22
258.07,62.44,22
259.07,61.83,22
260.07,62.89,22
261.07,62.09,22
262.07,62.49,22.2
263.07,62.44,22
264.07,61.59,22
265.07,61.43,22
266.07,62.11,22
267.07,61.78,22
268.07,62.21,22
269.07,61.44,22
270.07,62.36,22
271.07,62.06,22
272.07,62.01,22
273.07,61.78,22
274.07,62.26,22
275.07,62.33,22
276.07,62.51,22.2
